D_eff,delta_psi,recent_hits,S_final,fertile,intelligence_score,compression_ratio,fidelity_proxy
7,0.3,1,0.13006326723054898,False,0.0,28.0,0.0
7,0.3,2,0.130107324161692,False,0.0,28.0,0.0
7,0.3,3,0.13015133832470915,False,0.0,28.0,0.0
7,0.4,0,0.12658240924063194,False,0.0,28.0,0.0
7,0.4,1,0.12662977016871413,False,0.0,28.0,0.0
7,0.4,2,0.12667708512035902,False,0.0,28.0,0.0
7,0.4,3,0.12672435414116504,False,0.0,28.0,0.0
7,0.5,0,0.1401451602279635,False,0.0,28.0,0.0
7,0.5,1,0.14017965127831244,False,0.0,28.0,0.0
7,0.5,2,0.1402141088458798,False,0.0,28.0,0.0
7,0.5,3,0.14024853296387296,False,0.0,28.0,0.0
7,0.6,0,0.17129121190788882,False,0.0,28.0,0.0
7,0.6,1,0.17129614804881216,False,0.0,28.0,0.0
7,0.6,2,0.1713010793978916,False,0.0,28.0,0.0
7,0.6,3,0.17130600595987963,False,0.0,28.0,0.0
7,0.7,0,0.21835617910262473,True,0.6317078606841647,28.0,0.926341572136833
7,0.7,1,0.21831645466002195,True,0.6314430310668129,28.0,0.9262886062133626
7,0.7,2,0.21827676878060653,True,0.6311784585373768,28.0,0.9262356917074754
7,0.7,3,0.21823712142613236,True,0.6309141428408823,28.0,0.9261828285681766
7,0.8,0,0.27719261726328964,True,0.9760492182447358,28.0,0.9952098436489472
7,0.8,1,0.2770970621292518,True,0.9766862524716549,28.0,0.995337250494331
7,0.8,2,0.2770015997570072,True,0.9773226682866186,28.0,0.9954645336573238
7,0.8,3,0.27690623005455706,True,0.977958466302953,28.0,0.9955916932605906
7,0.9,0,0.34117657839134585,True,0.5494894773910277,28.0,0.9098978954782055
7,0.9,1,0.3410203080117524,True,0.5505312799216505,28.0,0.9101062559843301
7,0.9,2,0.3408641893343235,True,0.55157207110451,28.0,0.9103144142209021
7,0.9,3,0.34070822220860436,True,0.5526118519426376,28.0,0.9105223703885276
7,1.0,0,0.40149715851407985,False,0.0,28.0,0.0
7,1.0,1,0.40128364912068315,False,0.0,28.0,0.0
7,1.0,2,0.40107034699521005,False,0.0,28.0,0.0
7,1.0,3,0.40085725193209715,False,0.0,28.0,0.0
7,1.1,0,0.4477459313827216,False,0.0,28.0,0.0
7,1.1,1,0.44748853590362686,False,0.0,28.0,0.0
7,1.1,2,0.44723139029562986,False,0.0,28.0,0.0
7,1.1,3,0.44697449431091446,False,0.0,28.0,0.0
7,1.2,0,0.46879238918183835,False,0.0,28.0,0.0
7,1.2,1,0.46851502243446297,False,0.0,28.0,0.0
7,1.2,2,0.46823792494563826,False,0.0,28.0,0.0
7,1.2,3,0.46796109644831996,False,0.0,28.0,0.0
8,0.2,0,0.14815108195207202,False,0.0,32.0,0.0
8,0.2,1,0.14817797607508465,False,0.0,32.0,0.0
8,0.2,2,0.14820484409016388,False,0.0,32.0,0.0
8,0.2,3,0.14823168602320286,False,0.0,32.0,0.0
8,0.3,0,0.13019869788872823,False,0.0,32.0,0.0
8,0.3,1,0.13024262727163252,False,0.0,32.0,0.0
8,0.3,2,0.13028651400933122,False,0.0,32.0,0.0
8,0.3,3,0.1303303581441188,False,0.0,32.0,0.0
8,0.4,0,0.12677521595617008,False,0.0,32.0,0.0
8,0.4,1,0.12682239392735378,False,0.0,32.0,0.0
8,0.4,2,0.1268695260997088,False,0.0,32.0,0.0
8,0.4,3,0.12691661251865735,False,0.0,32.0,0.0
8,0.5,0,0.14028557356871782,False,0.0,32.0,0.0
8,0.5,1,0.14031993137894985,False,0.0,32.0,0.0
8,0.5,2,0.1403542558357454,False,0.0,32.0,0.0
8,0.5,3,0.1403885469721836,False,0.0,32.0,0.0
8,0.6,0,0.17131130697691305,False,0.0,32.0,0.0
8,0.6,1,0.17131622404935376,False,0.0,32.0,0.0
8,0.6,2,0.1713211363484617,False,0.0,32.0,0.0
8,0.6,3,0.17132604387897085,False,0.0,32.0,0.0
8,0.7,0,0.2181944605803116,True,0.6306297372020773,32.0,0.9261259474404155
